CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
1128	B341	100	20	NOVO	 	16	G	23	ENTRE 4 E 9 ANOS	0
1129	B399	100	23	NOVO	F	16	G	45	ENTRE 1 E 2 ANOS	0
1130	B33	89.36	28	NOVO	M	16	G	37	ENTRE 1 E 2 ANOS	0
1131	B341	87.01	17	NOVO	F	1	G	34	ENTRE 4 E 9 ANOS	1
1132	B341	76.48	24	NOVO	F	1	G	36	MAIOR OU IGUAL A 15	1
1133	B341	92.91	20	VIP	F	1	G	27	ENTRE 1 E 2 ANOS	1
1134	B341	100	16	NOVO	M	16	G	NULL	ATÉ 1 ANO	0
1135	B33	100	27	NOVO	F	16	G	27	ENTRE 1 E 2 ANOS	0
1136	B237	97.7	18	NOVO	I	0	G	36	ENTRE 4 E 9 ANOS	0
1138	B33	130.67	22	EXPERIENTE	F	16	G	42	ENTRE 4 E 9 ANOS	0
1140	B33	151.28	30	NEUTRO	F	16	G	33	ATÉ 1 ANO	0
1141	B341	99.5	24	NEUTRO	M	4	G	33	ENTRE 4 E 9 ANOS	0
1142	B341	126.56	27	NOVO	 	2	G	26	ATÉ 1 ANO	0
1143	B341	186.65	19	NOVO	F	6	G	38	ENTRE 4 E 9 ANOS	0
1144	B341	183	14	NOVO	F	6	G	39	ENTRE 4 E 9 ANOS	0
1145	B341	183	26	NOVO	F	6	G	39	ENTRE 4 E 9 ANOS	0
1146	B341	183	16	NOVO	F	6	G	39	ENTRE 4 E 9 ANOS	0
1147	B341	183	19	NOVO	F	6	G	39	ENTRE 4 E 9 ANOS	0
1148	B341	183	19	NOVO	F	6	G	39	ENTRE 4 E 9 ANOS	0
9229	B237	403	28	NOVO	F	6	G	35	ENTRE 4 E 9 ANOS	0
9230	B341	186.08	59	NEUTRO	F	0	G	47	ENTRE 1 E 2 ANOS	0
9235	B341	238	47	NOVO	M	0	G	23	ENTRE 2 E 4 ANOS	0
9236	B33	128	19	NOVO	F	2	G	20	ENTRE 1 E 2 ANOS	0
9237	B1	292	64	NOVO	F	3	G	21	ENTRE 2 E 4 ANOS	0
9238	B1	292	35	NOVO	F	3	G	21	ENTRE 2 E 4 ANOS	0
9239	B341	274	26	NOVO	I	1	G	43	ENTRE 1 E 2 ANOS	1
9240	B341	274	29	NOVO	I	1	G	44	ENTRE 1 E 2 ANOS	1
9241	B237	105	21	NEUTRO	M	7	G	63	ENTRE 4 E 9 ANOS	0
9242	B237	105	92	NEUTRO	M	7	G	64	ENTRE 4 E 9 ANOS	0
